person_name,screen_name,tweet,time_hour_of_day,hash_tags,media_info,freq,media_tweet_freq,total_tweet_by_user,percentage,hash_count,clean_tweet,sentiment,sentiment_score,compound_sentiment
jimmy fallon,jimmyfallon,Just saw @TheIrishmanFilm. Lovvvved. De Niro is a tour de force. Chemistry with Pesci and Pacino is magical. Everyt… https://t.co/TWCsc1sUh5,17,[],Has pictures / links ,7,118,200,3.5000000000000004,0,Just saw @TheIrishmanFilm. Lovvvved. De Niro is a tour de force. Chemistry with Pesci and Pacino is magical. Everyt… https://t.co/TWCsc1sUh5,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,RT @theestallion: Hotties I’ll be on The tonight show with @jimmyfallon tonight so tune in ! https://t.co/xXsMXWwHIC,17,[],Has pictures / links ,7,118,200,3.5000000000000004,0,RT @theestallion: Hotties I’ll be on The tonight show with @jimmyfallon tonight so tune in ! https://t.co/xXsMXWwHIC,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Love you too buds. Congrats on #1!! https://t.co/RjNVX31ZHo,17,[],Has pictures / links ,7,118,200,3.5000000000000004,0,Love you too buds. Congrats on #1!! https://t.co/RjNVX31ZHo,Positive,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.8475}",0.8475
jimmy fallon,jimmyfallon,"RT @RollingStone: Watch Post Malone and Jimmy Fallon sing a rousing cover of ""Seven Drunken Nights"" https://t.co/8FPvDk2Xho https://t.co/Dw…",17,[],Has pictures / links ,7,118,200,3.5000000000000004,0,"RT @RollingStone: Watch Post Malone and Jimmy Fallon sing a rousing cover of ""Seven Drunken Nights"" https://t.co/8FPvDk2Xho https://t.co/Dw…",Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,"RT @EW: Jimmy Fallon reveals Mary Beth Keane’s Ask Again, Yes as Tonight Show summer read https://t.co/7leczEDu3P",17,[],Has pictures / links ,7,118,200,3.5000000000000004,0,"RT @EW: Jimmy Fallon reveals Mary Beth Keane’s Ask Again, Yes as Tonight Show summer read https://t.co/7leczEDu3P",Positive,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}",0.4019
jimmy fallon,jimmyfallon,"Our #TonightShowSummerReads jumped to #2 on the Amazon Best Seller list overnight! If you want to read with me, ord… https://t.co/FIbB7mkKg2",17,"[{'indices': [4, 27], 'text': 'TonightShowSummerReads'}]",Has pictures / links ,7,118,200,3.5000000000000004,1,"Our #TonightShowSummerReads jumped to #2 on the Amazon Best Seller list overnight! If you want to read with me, ord… https://t.co/FIbB7mkKg2",Positive,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.7574}",0.7574
jimmy fallon,jimmyfallon,RT @NJDevil00: It’s going down #FallonTonight https://t.co/wDI2b6jRlD,18,"[{'indices': [31, 45], 'text': 'FallonTonight'}]",Has pictures / links ,7,118,200,3.5000000000000004,1,RT @NJDevil00: It’s going down #FallonTonight https://t.co/wDI2b6jRlD,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Swimmy. https://t.co/0I4KjpFfJM,18,[],Has pictures / links ,7,118,200,3.5000000000000004,0,Swimmy. https://t.co/0I4KjpFfJM,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Trending #1 right now. Thanks guys!! https://t.co/w69cZ8e8bB,18,[],Has pictures / links ,7,118,200,3.5000000000000004,0,Trending #1 right now. Thanks guys!! https://t.co/w69cZ8e8bB,Positive,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.5399}",0.5399
jimmy fallon,jimmyfallon,Went to class. That one time. #CollegeInSixWords,18,"[{'indices': [30, 48], 'text': 'CollegeInSixWords'}]",No picture / link,7,82,200,3.5000000000000004,1,Went to class. That one time. #CollegeInSixWords,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
